re,co,cc,lo,me
METROPOLITANA DE SANTIAGO,PAINE,PAINE,ESCUELA BASICA PAULA JARAQUEMADA ALQUIZAR LOCAL: 2,33V
METROPOLITANA DE SANTIAGO,SAN BERNARDO,SAN BERNARDO,CENTRO EDUCACIONAL BALDOMERO LILLO LOCAL: 2,232V
METROPOLITANA DE SANTIAGO,SAN BERNARDO,SAN BERNARDO,LICEO HARDWARE ,28V
METROPOLITANA DE SANTIAGO,SAN BERNARDO,SAN BERNARDO,LICEO HARDWARE ,34V
METROPOLITANA DE SANTIAGO,SAN BERNARDO,SAN BERNARDO,LICEO HARDWARE ,43V
METROPOLITANA DE SANTIAGO,SAN BERNARDO,SAN BERNARDO,ESCUELA LIBERTADOR GENERAL BERNARDO O'HIGGINS ,16V
METROPOLITANA DE SANTIAGO,SAN BERNARDO,SAN BERNARDO,ESCUELA MANUEL MAGALLANES MOURE,78V
METROPOLITANA DE SANTIAGO,SAN BERNARDO,SAN BERNARDO,GIMNASIO MUNICIPAL,199M
METROPOLITANA DE SANTIAGO,SAN BERNARDO,SAN BERNARDO,LICEO POLIVALENTE LUCILA GODOY ALCAYAGA,116V
METROPOLITANA DE SANTIAGO,ALHUE,ALHUE,LICEO MUNICIPAL SARA TRONCOSO TRONCOSO,6M
METROPOLITANA DE SANTIAGO,CURACAVI,CURACAVI,ESCUELA BASICA VALLE DE PUANGUE,5M
METROPOLITANA DE SANTIAGO,CURACAVI,CURACAVI,ESCUELA SAN JOSE OBRERO DE CURACAVI,32
METROPOLITANA DE SANTIAGO,MARIA PINTO,MARIA PINTO,LICEO MUNICIPAL F-860 LOCAL: 2,21
METROPOLITANA DE SANTIAGO,MELIPILLA,MELIPILLA,COLEGIO PARTICULAR MELIPILLA,96M
METROPOLITANA DE SANTIAGO,MELIPILLA,MELIPILLA,COLEGIO POLITECNICO NUESTRA SEÑORA DE LA PRESENTACION LOCAL: 2,73V
METROPOLITANA DE SANTIAGO,MELIPILLA,MELIPILLA,COLEGIO POLITECNICO NUESTRA SEÑORA DE LA PRESENTACION LOCAL: 2,90V
METROPOLITANA DE SANTIAGO,MELIPILLA,MELIPILLA,COLEGIO POLIVALENTE SAN AGUSTIN LOCAL: 1,93V
METROPOLITANA DE SANTIAGO,MELIPILLA,MELIPILLA,COLEGIO POLIVALENTE SAN AGUSTIN LOCAL: 1,107
METROPOLITANA DE SANTIAGO,MELIPILLA,MELIPILLA,COLEGIO POLIVALENTE SAN AGUSTIN LOCAL: 2,125
METROPOLITANA DE SANTIAGO,MELIPILLA,MELIPILLA,LICEO GABRIELA MISTRAL DE MELIPILLA,154
METROPOLITANA DE SANTIAGO,MELIPILLA,MELIPILLA,LICEO POLITECNICO MUNICIPAL MELIPILLA LOCAL: 1,17M
METROPOLITANA DE SANTIAGO,MELIPILLA,MELIPILLA,LICEO POLITECNICO MUNICIPAL MELIPILLA LOCAL: 3,43M
METROPOLITANA DE SANTIAGO,MELIPILLA,MELIPILLA,LICEO POLITECNICO MUNICIPAL MELIPILLA LOCAL: 3,46M
METROPOLITANA DE SANTIAGO,MELIPILLA,MELIPILLA,LICEO POLITECNICO MUNICIPAL MELIPILLA LOCAL: 3,62M
METROPOLITANA DE SANTIAGO,MELIPILLA,MELIPILLA,LICEO POLITECNICO MUNICIPAL MELIPILLA LOCAL: 4,67M
METROPOLITANA DE SANTIAGO,MELIPILLA,MELIPILLA,LICEO POLIVALENTE HERMANOS SOTOMAYOR BAEZA LOCAL: 1,5V
METROPOLITANA DE SANTIAGO,MELIPILLA,MELIPILLA,LICEO POLIVALENTE HERMANOS SOTOMAYOR BAEZA LOCAL: 1,24V
METROPOLITANA DE SANTIAGO,MELIPILLA,MELIPILLA,LICEO POLIVALENTE HERMANOS SOTOMAYOR BAEZA LOCAL: 2,43V
