ts,circelec,idservel,mex,padron,vt1v,c1v
2021-11-26 16:48:54.045109,7074,267,False,4734,1981,41.846
2021-11-26 16:48:54.045109,7074,268,False,6473,2688,41.526
2021-11-26 16:48:54.045109,7513,1556,False,1862,878,47.154
2021-11-26 16:48:54.045109,7357,1001,False,3103,1359,43.796
2021-11-26 16:48:54.045109,7357,1002,False,3655,1586,43.393
2021-11-26 16:48:54.045109,7357,1003,False,5827,2444,41.943
2021-11-26 16:48:54.045109,7357,1004,False,6847,2703,39.477
2021-11-26 16:48:54.045109,7311,2760,False,2391,898,37.558
2021-11-26 16:48:54.045109,7068,247,False,1072,486,45.336
2021-11-26 16:48:54.045109,7628,1275,False,3485,1957,56.155
2021-11-26 16:48:54.045109,7019,61,False,7413,3729,50.304
2021-11-26 16:48:54.045109,7019,62,False,5419,2387,44.049
2021-11-26 16:48:54.045109,7019,63,False,6788,3002,44.225
2021-11-26 16:48:54.045109,7019,64,False,6751,3206,47.489
2021-11-26 16:48:54.045109,7019,65,False,6792,3020,44.464
2021-11-26 16:48:54.045109,7019,66,False,5403,1799,33.296
2021-11-26 16:48:54.045109,7019,67,False,7726,2905,37.6
2021-11-26 16:48:54.045109,7019,68,False,7461,3441,46.12
2021-11-26 16:48:54.045109,7019,69,False,7471,3444,46.098
2021-11-26 16:48:54.045109,7019,70,False,6757,2975,44.028
2021-11-26 16:48:54.045109,7019,71,False,5360,2076,38.731
2021-11-26 16:48:54.045109,7019,72,False,6046,3066,50.711
2021-11-26 16:48:54.045109,7019,73,False,6717,2576,38.35
2021-11-26 16:48:54.045109,7019,74,False,7499,3428,45.713
2021-11-26 16:48:54.045109,7019,75,False,6696,2697,40.278
2021-11-26 16:48:54.045109,7019,76,False,6122,2836,46.325
2021-11-26 16:48:54.045109,7019,77,False,6755,2913,43.124
2021-11-26 16:48:54.045109,7019,78,False,6678,2759,41.315
2021-11-26 16:48:54.045109,7019,79,False,6747,2938,43.545
2021-11-26 16:48:54.045109,7458,1348,False,8535,3168,37.118
2021-11-26 16:48:54.045109,7458,1349,False,8574,3002,35.013
2021-11-26 16:48:54.045109,7458,1350,False,6506,2185,33.584
2021-11-26 16:48:54.045109,7458,1351,False,4350,1441,33.126
2021-11-26 16:48:54.045109,7036,153,False,6473,2981,46.053
2021-11-26 16:48:54.045109,7036,154,False,8793,4310,49.016
2021-11-26 16:48:54.045109,7092,325,False,3413,1656,48.52
2021-11-26 16:48:54.045109,7092,331,False,3393,1734,51.105
2021-11-26 16:48:54.045109,7092,332,False,5036,2253,44.738
2021-11-26 16:48:54.045109,7092,326,False,5115,2310,45.161
2021-11-26 16:48:54.045109,7092,327,False,5788,2818,48.687
2021-11-26 16:48:54.045109,7092,328,False,6151,3396,55.211
2021-11-26 16:48:54.045109,7092,329,False,8541,4198,49.151
2021-11-26 16:48:54.045109,7092,330,False,7433,3353,45.11
2021-11-26 16:48:54.045109,7213,2390,False,6548,3258,49.756
