ts,circelec,idservel,mex,tM,iM,pM,cM
2021-12-05 05:30:33.692920,7202,2240,False,17,17,0,100.0
2021-12-05 05:30:33.692920,7202,2241,False,20,20,0,100.0
2021-12-05 05:30:33.692920,7202,2254,False,18,18,0,100.0
2021-12-05 05:30:33.692920,7202,2255,False,18,18,0,100.0
2021-12-05 05:30:33.692920,7202,2242,False,18,18,0,100.0
2021-12-05 05:30:33.692920,7202,2243,False,19,19,0,100.0
2021-12-05 05:30:33.692920,7202,2244,False,19,19,0,100.0
2021-12-05 05:30:33.692920,7202,2249,False,22,22,0,100.0
2021-12-05 05:30:33.692920,7202,2250,False,22,22,0,100.0
2021-12-05 05:30:33.692920,7202,2251,False,18,18,0,100.0
2021-12-05 05:30:33.692920,7202,2252,False,18,18,0,100.0
2021-12-05 05:30:33.692920,7202,2245,False,19,19,0,100.0
2021-12-05 05:30:33.692920,7202,2246,False,19,19,0,100.0
2021-12-05 05:30:33.692920,7202,2247,False,17,17,0,100.0
2021-12-05 05:30:33.692920,7202,2248,False,17,17,0,100.0
2021-12-05 05:30:33.692920,7376,1039,False,10,10,0,100.0
2021-12-05 05:30:33.692920,7376,1040,False,13,13,0,100.0
2021-12-05 05:30:33.692920,7376,1041,False,11,11,0,100.0
2021-12-05 05:30:33.692920,7376,1042,False,15,15,0,100.0
2021-12-05 05:30:33.692920,7376,1043,False,19,19,0,100.0
2021-12-05 05:30:33.692920,7376,1044,False,13,13,0,100.0
2021-12-05 05:30:33.692920,7001,2674,False,6,6,0,100.0
2021-12-05 05:30:33.692920,7001,2675,False,15,15,0,100.0
2021-12-05 05:30:33.692920,7001,2676,False,10,10,0,100.0
2021-12-05 05:30:33.692920,7001,2677,False,13,13,0,100.0
2021-12-05 05:30:33.692920,7001,2678,False,16,16,0,100.0
2021-12-05 05:30:33.692920,7001,2679,False,8,8,0,100.0
2021-12-05 05:30:33.692920,7001,2695,False,8,8,0,100.0
2021-12-05 05:30:33.692920,7001,2680,False,15,15,0,100.0
2021-12-05 05:30:33.692920,7001,2682,False,25,25,0,100.0
2021-12-05 05:30:33.692920,7001,2683,False,15,15,0,100.0
2021-12-05 05:30:33.692920,7001,2684,False,11,11,0,100.0
2021-12-05 05:30:33.692920,7001,2685,False,15,15,0,100.0
2021-12-05 05:30:33.692920,7001,2686,False,11,11,0,100.0
2021-12-05 05:30:33.692920,7001,2687,False,12,12,0,100.0
2021-12-05 05:30:33.692920,7001,2688,False,6,6,0,100.0
2021-12-05 05:30:33.692920,7001,2689,False,6,6,0,100.0
2021-12-05 05:30:33.692920,7001,2690,False,8,8,0,100.0
2021-12-05 05:30:33.692920,7001,2691,False,6,6,0,100.0
2021-12-05 05:30:33.692920,7001,2692,False,30,30,0,100.0
2021-12-05 05:30:33.692920,7001,2693,False,15,15,0,100.0
2021-12-05 05:30:33.692920,7001,2694,False,10,10,0,100.0
2021-12-05 05:30:33.692920,7001,2696,False,10,10,0,100.0
2021-12-05 05:30:33.692920,7660,2704,False,12,12,0,100.0
2021-12-05 05:30:33.692920,7660,2705,False,15,15,0,100.0
2021-12-05 05:30:33.692920,7660,2706,False,15,15,0,100.0
2021-12-05 05:30:33.692920,7660,2714,False,10,10,0,100.0
2021-12-05 05:30:33.692920,7660,2707,False,25,25,0,100.0
2021-12-05 05:30:33.692920,7660,2708,False,10,10,0,100.0
2021-12-05 05:30:33.692920,7660,2709,False,8,8,0,100.0
2021-12-05 05:30:33.692920,7660,2710,False,10,10,0,100.0
2021-12-05 05:30:33.692920,7660,2711,False,8,8,0,100.0
2021-12-05 05:30:33.692920,7660,2712,False,8,8,0,100.0
2021-12-05 05:30:33.692920,7660,2713,False,10,10,0,100.0
2021-12-05 05:30:33.692920,7699,825,False,10,10,0,100.0
2021-12-05 05:30:33.692920,7481,1397,False,4,4,0,100.0
2021-12-05 05:30:33.692920,7611,1427,False,5,5,0,100.0
2021-12-05 05:30:33.692920,7572,1505,False,2,2,0,100.0
2021-12-05 05:30:33.692920,7657,2536,False,11,11,0,100.0
2021-12-05 05:30:33.692920,7657,2537,False,13,13,0,100.0
2021-12-05 05:30:33.692920,7657,2538,False,22,22,0,100.0
2021-12-05 05:30:33.692920,7657,2539,False,16,16,0,100.0
2021-12-05 05:30:33.692920,7657,2540,False,16,16,0,100.0
2021-12-05 05:30:33.692920,7488,1484,False,2,2,0,100.0
2021-12-05 05:30:33.692920,7099,367,False,15,15,0,100.0
2021-12-05 05:30:33.692920,7099,368,False,16,16,0,100.0
2021-12-05 05:30:33.692920,7099,369,False,10,10,0,100.0
2021-12-05 05:30:33.692920,7099,370,False,14,14,0,100.0
2021-12-05 05:30:33.692920,7099,382,False,14,14,0,100.0
2021-12-05 05:30:33.692920,7099,371,False,15,15,0,100.0
2021-12-05 05:30:33.692920,7099,372,False,14,14,0,100.0
2021-12-05 05:30:33.692920,7099,373,False,15,15,0,100.0
2021-12-05 05:30:33.692920,7099,374,False,15,15,0,100.0
2021-12-05 05:30:33.692920,7099,375,False,14,14,0,100.0
2021-12-05 05:30:33.692920,7099,376,False,10,10,0,100.0
2021-12-05 05:30:33.692920,7099,377,False,14,14,0,100.0
2021-12-05 05:30:33.692920,7099,378,False,10,10,0,100.0
2021-12-05 05:30:33.692920,7099,379,False,15,15,0,100.0
2021-12-05 05:30:33.692920,7099,380,False,22,22,0,100.0
2021-12-05 05:30:33.692920,7099,383,False,11,11,0,100.0
2021-12-05 05:30:33.692920,7099,381,False,17,17,0,100.0
2021-12-05 05:30:33.692920,7054,222,False,8,8,0,100.0
2021-12-05 05:30:33.692920,7594,1272,False,5,5,0,100.0
2021-12-05 05:30:33.692920,7662,2541,False,15,15,0,100.0
2021-12-05 05:30:33.692920,7662,2542,False,19,19,0,100.0
2021-12-05 05:30:33.692920,7005,2699,False,3,3,0,100.0
2021-12-05 05:30:33.692920,7185,2054,False,23,23,0,100.0
2021-12-05 05:30:33.692920,7185,2073,False,18,18,0,100.0
2021-12-05 05:30:33.692920,7185,2055,False,18,18,0,100.0
2021-12-05 05:30:33.692920,7185,2056,False,18,18,0,100.0
2021-12-05 05:30:33.692920,7185,2060,False,24,24,0,100.0
2021-12-05 05:30:33.692920,7185,2071,False,18,18,0,100.0
2021-12-05 05:30:33.692920,7185,2062,False,23,23,0,100.0
2021-12-05 05:30:33.692920,7185,2063,False,23,23,0,100.0
2021-12-05 05:30:33.692920,7185,2074,False,18,18,0,100.0
2021-12-05 05:30:33.692920,7185,2064,False,18,18,0,100.0
2021-12-05 05:30:33.692920,7185,2065,False,18,18,0,100.0
2021-12-05 05:30:33.692920,7185,2066,False,22,22,0,100.0
2021-12-05 05:30:33.692920,7185,2067,False,22,22,0,100.0
2021-12-05 05:30:33.692920,7185,2068,False,22,22,0,100.0
2021-12-05 05:30:33.692920,7185,2069,False,22,22,0,100.0
2021-12-05 05:30:33.692920,7185,2057,False,17,17,0,100.0
2021-12-05 05:30:33.692920,7185,2058,False,17,17,0,100.0
2021-12-05 05:30:33.692920,7185,2059,False,17,17,0,100.0
2021-12-05 05:30:33.692920,7185,2072,False,18,18,0,100.0
2021-12-05 05:30:33.692920,7185,2070,False,21,21,0,100.0
2021-12-05 05:30:33.692920,7185,2061,False,14,14,0,100.0
2021-12-05 05:30:33.692920,7704,676,False,2,2,0,100.0
2021-12-05 05:30:33.692920,7729,2808,False,4,4,0,100.0
2021-12-05 05:30:33.692920,7700,826,False,6,6,0,100.0
2021-12-05 05:30:33.692920,7214,2391,False,18,18,0,100.0
2021-12-05 05:30:33.692920,7214,2392,False,12,12,0,100.0
2021-12-05 05:30:33.692920,7214,2393,False,19,19,0,100.0
2021-12-05 05:30:33.692920,7214,2394,False,19,19,0,100.0
2021-12-05 05:30:33.692920,7214,2395,False,19,19,0,100.0
2021-12-05 05:30:33.692920,7214,2396,False,19,19,0,100.0
2021-12-05 05:30:33.692920,7214,2397,False,18,18,0,100.0
2021-12-05 05:30:33.692920,7214,2398,False,17,17,0,100.0
2021-12-05 05:30:33.692920,7214,2402,False,11,11,0,100.0
2021-12-05 05:30:33.692920,7214,2401,False,17,17,0,100.0
2021-12-05 05:30:33.692920,7214,2399,False,18,18,0,100.0
2021-12-05 05:30:33.692920,7214,2400,False,17,17,0,100.0
2021-12-05 05:30:33.692920,7322,2778,False,14,14,0,100.0
2021-12-05 05:30:33.692920,7322,2779,False,21,21,0,100.0
2021-12-05 05:30:33.692920,7322,2780,False,25,25,0,100.0
2021-12-05 05:30:33.692920,7315,2766,False,15,15,0,100.0
2021-12-05 05:30:33.692920,7074,266,False,20,20,0,100.0
2021-12-05 05:30:33.692920,7074,267,False,14,14,0,100.0
2021-12-05 05:30:33.692920,7074,268,False,19,19,0,100.0
2021-12-05 05:30:33.692920,7513,1556,False,6,6,0,100.0
2021-12-05 05:30:33.692920,7357,1001,False,9,9,0,100.0
2021-12-05 05:30:33.692920,7357,1002,False,11,11,0,100.0
2021-12-05 05:30:33.692920,7357,1003,False,17,17,0,100.0
2021-12-05 05:30:33.692920,7357,1004,False,20,20,0,100.0
2021-12-05 05:30:33.692920,7311,2760,False,9,9,0,100.0
2021-12-05 05:30:33.692920,7068,247,False,4,4,0,100.0
2021-12-05 05:30:33.692920,7628,1275,False,10,10,0,100.0
2021-12-05 05:30:33.692920,7019,61,False,22,22,0,100.0
2021-12-05 05:30:33.692920,7019,62,False,16,16,0,100.0
2021-12-05 05:30:33.692920,7019,63,False,20,20,0,100.0
